Domain,Owner
hcl-proto1-domain,rksathish
hcl-proto3-domain,nprathima
hcl-proto4-domain,thangap
hcl-mx-domain,cmvijay
hcl-mpls-domain,skeer
hcl-issu1-domain,mmanasa
hcl-vpn-domain,kmeka
hcl-mcast3-domain,ssarany
hcl-atari-domain,nprathima
issu1-irtb-domain,knpavan
scale-irtb-domain,cmohanraj
scale-issu1-domain,knpavan
hcl-proto4-proto1-domain,rksathish
hcl-mx-mpls,skeer
rbu-reg-blr-agave,rsheshank
rbu-reg-blr-agave2,msheriff
rbu-reg-blr-agave-pe,nyashwanth
rbu-reg-blr-aloha,athiruna
rbu-reg-blr-aloha2,archanag
rbu-reg-blr-aloha3,jayanths
rbu-reg-blr-altius1,rpavan
rbu-reg-blr-altius2,rpavan
rbu-reg-blr-altius3,rpavan
rbu-reg-blr-atlas1,psowjanya
rbu-reg-blr-atlas10,psowjanya
rbu-reg-blr-fortytwo,snreddy
rbu-reg-blr-hyperion3,vchowdary
rbu-reg-blr-issu2,msheriff
rbu-reg-blr-mtrainer-mx,jayanths
rbu-reg-blr-neo_as2-irtb,vbaskara
rbu-reg-blr-neo1,sdheeraj
rbu-reg-blr-reno1,vravi
rbu-reg-blr-riptide1,aawasthi
rbu-reg-blr-snorkel1,shilpah
rbu-reg-blr-snorkel2-irtb,rsheshank
rbu-reg-blr-spiff1,msheriff
rbu-reg-blr-stout,deepaknr
rbu-reg-blr-vmx-riptide2,rramu
rbu-reg-blr-vmx-snkl,vikassv
rbu-reg-chn-hcl-neo-as-irtb,aswinir
rbu-reg-chn-riptide,kganesan
rbu-reg-wf-agentsmith,rsdivya
rbu-reg-wf-chai-rtb,sbethana
rbu-reg-wf-hermes-oceanus-rtb,aswinir
rbu-reg-wf-ipenhance-rtb,vravi
rbu-reg-wf-mxfpc,nyashwanth
rbu-reg-wf-taz,sdheeraj
rpt-reg-geoDC-irtb6,vbaskara
rpt-reg-geoDC-issu-int1,vikassv
rpt-reg-geoDC-nano-rtb,sbethana
rpt-reg-geoDC-pinot-rtb,rvsadasiva
rpt-reg-geoDC-sonet,nyashwanth
rpt-reg-geoDC-tiny-rtb,rvsadasiva
rpt-reg-geoDC-tx1-rtb,vikassv
rpt-reg-svl-hypermode1,komalkc
rpt-reg-svl-riptide-rtb,dboppanna
rpt-reg-svl-riptide-rtb2,shilpah
rpt-reg-svl-stout-rtb,rvsadasiva
rpt-reg-svl-stout-rtb3,tbharath
rpt-reg-svl-v44-rtb1,vravi
static-bng-domain,krishnar
static-riad-domain,arula
rbu-reg-wf-opti1,amitrl
rbu-reg-chn-ipsecnat,greddy
rbu-reg-blr-cgn2,greddy
rbu-reg-blr-mxscb2svc,gvishnu
rpt-reg-svl-stout-rtb1,gvishnu
rpt-reg-svl-gvpn,jhansi@juniper.net
rbu-reg-blr-tdf,jhansi@juniper.net
rbu-reg-blr-sparks1,manonmani
rpt-reg-svl-scg,manonmani
rbu-reg-blr-svcinline,mpandey
rbu-reg-blr-svcnano,neelesht
rbu-reg-blr-svcmxvc,prakashr
rbu-reg-blr-svctrio,prakashr
rbu-reg-blr-asp1,prasansri
rbu-reg-blr-asp2,prasansri
rbu-reg-blr-svcsg,prasansri
rbu-reg-blr-svcspiff,prasansri
rpt-reg-geoDC-pm1-rtb,prasansri
rpt-reg-geoDC-sg1-rtb,prasansri
rbu-reg-blr-sparks2,prasansri
rpt-reg-svl-sdg-profile1,skshah
rbu-reg-blr-sparks3,skshah
rpt-reg-geoDC-asp-rtb,vdharmavar
rbu-reg-blr-sparks4,vdharmavar
tot-mpls-soa1,sahubars
er-master-domain,lajadas
je-domain,kshruti
rbu-reg-blr-acx1,beenakp
rbu-reg-blr-acx2,rangajt
rbu-reg-blr-acx3,rangajt
rbu-reg-blr-acx4,rangajt
rbu-reg-blr-acx5,rangajt
rbu-reg-blr-kotinos,rangajt
rbu-reg-blr-misha,brijesh
rbu-reg-hcl-ce1,bbabu
rbu-reg-wf-ce,bbabu
rbu-reg-blr-bras3,saikb
rpt-reg-blr-bras5,jabirami
rbu-reg-hcl-chai,karikalan
rbu-reg-hcl-ce2,rmanoj
rbu-reg-wf-ce3,priyanga
rbu-reg-hcl-ce3,rageshp
rbu-reg-blr-bras2,rameshbp
rbu-reg-blr-nano,rameshbp
rbu-reg-hcl-altius,mkusuma
rbu-reg-hcl-kanchi,rmanoj
rbu-reg-blr-bras4,saikb
